,0,1
141,ALGS,"Aligos Therapeutics, Inc. "
142,ALGT,Allegiant Travel Company 
143,ALIM,"Alimera Sciences, Inc. "
144,ALJJ,"ALJ Regional Holdings, Inc. "
145,ALKS,Alkermes plc 
146,ALLK,Allakos Inc. 
147,ALLO,"Allogene Therapeutics, Inc. "
148,ALLT,Allot Ltd. 
149,ALNA,"Allena Pharmaceuticals, Inc. "
150,ALNY,"Alnylam Pharmaceuticals, Inc. "
151,ALOT,"AstroNova, Inc. "
152,ALPN,"Alpine Immune Sciences, Inc. "
153,ALRM,"Alarm.com Holdings, Inc. "
154,ALRN,"Aileron Therapeutics, Inc. "
155,ALRS,Alerus Financial Corporation 
156,ALSK,"Alaska Communications Systems Group, Inc. "
157,ALT,"Altimmune, Inc. "
158,ALTA,Altabancorp 
159,ALTM,Altus Midstream Company 
160,ALTR,Altair Engineering Inc. 
161,ALTY,Global X SuperDividend Alternatives ETF
162,ALXN,"Alexion Pharmaceuticals, Inc. "
163,ALXO,ALX Oncology Holdings Inc. 
164,ALYA,Alithya Group inc. 
165,AMAL,Amalgamated Bank 
166,AMAT,"Applied Materials, Inc. "
167,AMBA,"Ambarella, Inc. "
168,AMCA,iShares Russell 1000 Pure U.S. Revenue ETF
169,AMCIU,AMCI Acquisition Corp. 
170,AMCIW,AMCI Acquisition Corp. 
171,AMCX,AMC Networks Inc. 
172,AMD,"Advanced Micro Devices, Inc. "
173,AMED,Amedisys Inc 
174,AMEH,"Apollo Medical Holdings, Inc. "
175,AMGN,Amgen Inc. 
176,AMHC,Amplitude Healthcare Acquisition Corporation 
177,AMHCU,Amplitude Healthcare Acquisition Corporation 
178,AMHCW,Amplitude Healthcare Acquisition Corporation 
179,AMKR,"Amkor Technology, Inc. "
180,AMNB,"American National Bankshares, Inc. "
181,AMOT,"Allied Motion Technologies, Inc. "
182,AMPH,"Amphastar Pharmaceuticals, Inc. "
183,AMRB,American River Bankshares 
184,AMRH,"Ameri Holdings, Inc. "
185,AMRHW,"Ameri Holdings, Inc. "
186,AMRK,A
187,AMRN,Amarin Corporation plc 
188,AMRS,"Amyris, Inc. "
189,AMSC,American Superconductor Corporation 
190,AMSF,"AMERISAFE, Inc. "
191,AMST,Amesite Inc. 
192,AMSWA,"American Software, Inc. "
193,AMTB,Amerant Bancorp Inc. 
194,AMTBB,Amerant Bancorp Inc. 
195,AMTI,Applied Molecular Transport Inc. 
196,AMTX,"Aemetis, Inc "
197,AMWD,American Woodmark Corporation 
198,AMYT,Amryt Pharma plc 
199,AMZN,"Amazon.com, Inc. "
200,ANAB,"AnaptysBio, Inc. "
201,ANAT,"American National Group, Inc. "
202,ANCN,Anchiano Therapeutics Ltd. 
203,ANDA,Andina Acquisition Corp. III 
204,ANDAR,Andina Acquisition Corp. III 
205,ANDAU,Andina Acquisition Corp. III 
206,ANDAW,Andina Acquisition Corp. III 
207,ANDE,"The Andersons, Inc. "
208,ANGI,ANGI Homeservices Inc. 
209,ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF
210,ANIK,Anika Therapeutics Inc. 
211,ANIP,"ANI Pharmaceuticals, Inc. "
212,ANIX,"Anixa Biosciences, Inc. "
213,ANNX,"Annexon, Inc. "
214,ANPC,AnPac Bio
215,ANSS,"ANSYS, Inc. "
216,ANTE,AirNet Technology Inc. 
217,ANY,Sphere 3D Corp. 
218,AOSL,Alpha and Omega Semiconductor Limited 
219,AOUT,"American Outdoor Brands, Inc. "
220,APA,Apache Corporation 
221,APDN,"Applied DNA Sciences, Inc. "
222,APEI,"American Public Education, Inc. "
223,APEN,"Apollo Endosurgery, Inc. "
224,APHA,Aphria Inc. 
225,API,"Agora, Inc. "
226,APLS,"Apellis Pharmaceuticals, Inc. "
227,APLT,"Applied Therapeutics, Inc. "
228,APM,Aptorum Group Limited 
229,APOG,"Apogee Enterprises, Inc. "
230,APOP,Cellect Biotechnology Ltd. 
231,APOPW,Cellect Biotechnology Ltd. 
232,APPF,"AppFolio, Inc. "
233,APPN,Appian Corporation 
234,APPS,"Digital Turbine, Inc. "
235,APRE,"Aprea Therapeutics, Inc. "
236,APTO,"Aptose Biosciences, Inc. "
237,APTX,Aptinyx Inc. 
238,APVO,Aptevo Therapeutics Inc. 
239,APWC,Asia Pacific Wire  
240,APXT,Apex Technology Acquisition Corporation 
241,APXTU,Apex Technology Acquisition Corporation 
242,APXTW,Apex Technology Acquisition Corporation 
243,APYX,Apyx Medical Corporation 
244,AQB,"AquaBounty Technologies, Inc. "
245,AQMS,"Aqua Metals, Inc. "
246,AQST,"Aquestive Therapeutics, Inc. "
247,ARAV,"Aravive, Inc. "
248,ARAY,Accuray Incorporated 
249,ARBGU,Aequi Acquisition Corp. 
250,ARCB,ArcBest Corporation 
251,ARCC,Ares Capital Corporation 
252,ARCE,Arco Platform Limited 
253,ARCT,Arcturus Therapeutics Holdings Inc. 
254,ARDS,Aridis Pharmaceuticals Inc. 
255,ARDX,"Ardelyx, Inc. "
256,AREC,American Resources Corporation 
257,ARGX,argenx SE 
258,ARKR,Ark Restaurants Corp. 
259,ARLP,"Alliance Resource Partners, L.P. "
260,ARNA,"Arena Pharmaceuticals, Inc. "
261,AROW,Arrow Financial Corporation 
262,ARPO,"Aerpio Pharmaceuticals, Inc. "
263,ARQT,"Arcutis Biotherapeutics, Inc. "
264,ARRY,"Array Technologies, Inc. "
265,ARTL,"Artelo Biosciences, Inc. "
266,ARTLW,"Artelo Biosciences, Inc. "
267,ARTNA,Artesian Resources Corporation 
268,ARTW,Art's
269,ARVN,"Arvinas, Inc. "
270,ARWR,"Arrowhead Pharmaceuticals, Inc. "
271,ARYA,ARYA Sciences Acquisition Corp III 
272,ASET,FlexShares Real Assets Allocation Index Fund
273,ASMB,"Assembly Biosciences, Inc. "
274,ASML,ASML Holding N.V. 
275,ASND,Ascendis Pharma A/S 
276,ASO,"Academy Sports and Outdoors, Inc. "
