,0,1
627,CGROW,Collective Growth Corporation 
628,CHB,Global X China Biotech Innovation ETF
629,CHCO,City Holding Company 
630,CHDN,"Churchill Downs, Incorporated "
631,CHEF,"The Chefs' Warehouse, Inc. "
632,CHEK,Check
633,CHEKZ,Check
634,CHFS,"CHF Solutions, Inc. "
635,CHI,Calamos Convertible Opportunities and Income Fund 
636,CHKP,Check Point Software Technologies Ltd. 
637,CHMA,"Chiasma, Inc. "
638,CHMG,Chemung Financial Corp 
639,CHNA,Loncar China BioPharma ETF
640,CHNGU,Change Healthcare Inc. 
641,CHNR,"China Natural Resources, Inc. "
642,CHPM,CHP Merger Corp. 
643,CHPMU,CHP Merger Corp. 
644,CHPMW,CHP Merger Corp. 
645,CHRS,"Coherus BioSciences, Inc. "
646,CHRW,"C.H. Robinson Worldwide, Inc. "
647,CHSCL,CHS Inc 
648,CHSCM,CHS Inc 
649,CHSCN,CHS Inc 
650,CHSCO,CHS Inc 
651,CHSCP,CHS Inc 
652,CHTR,"Charter Communications, Inc. "
653,CHUY,"Chuy's Holdings, Inc. "
654,CHW,Calamos Global Dynamic Income Fund 
655,CHY,Calamos Convertible and High Income Fund 
656,CIBR,First Trust NASDAQ Cybersecurity ETF
657,CIGI,Colliers International Group Inc.  
658,CIH,China Index Holdings Limited 
659,CIIC,CIIG Merger Corp. 
660,CIICU,CIIG Merger Corp. 
661,CIICW,CIIG Merger Corp. 
662,CIL,VictoryShares International Volatility Wtd ETF
663,CIVB,"Civista Bancshares, Inc.  "
664,CIZ,VictoryShares Developed Enhanced Volatility Wtd ETF
665,CJJD,China Jo
666,CKPT,"Checkpoint Therapeutics, Inc. "
667,CLAR,Clarus Corporation 
668,CLBK,"Columbia Financial, Inc. "
669,CLBS,"Caladrius Biosciences, Inc. "
670,CLCT,"Collectors Universe, Inc. "
671,CLDB,Cortland Bancorp 
672,CLDX,"Celldex Therapeutics, Inc. "
673,CLEU,China Liberal Education Holdings Limited 
674,CLFD,"Clearfield, Inc. "
675,CLGN,CollPlant Biotechnologies Ltd. 
676,CLIR,ClearSign Technologies Corporation 
677,CLLS,Cellectis S.A. 
678,CLMT,"Calumet Specialty Products Partners, L.P. "
679,CLNE,Clean Energy Fuels Corp. 
680,CLOU,Global X Cloud Computing ETF
681,CLPT,ClearPoint Neuro Inc. 
682,CLRB,"Cellectar Biosciences, Inc. "
683,CLRBZ,"Cellectar Biosciences, Inc. "
684,CLRG,IQ Chaikin U.S. Large Cap ETF
685,CLSD,"Clearside Biomedical, Inc. "
686,CLSK,"CleanSpark, Inc. "
687,CLSN,Celsion Corporation 
688,CLVS,"Clovis Oncology, Inc. "
689,CLWT,Euro Tech Holdings Company Limited 
690,CLXT,"Calyxt, Inc. "
691,CMBM,Cambium Networks Corporation 
692,CMCO,Columbus McKinnon Corporation 
693,CMCSA,Comcast Corporation 
694,CMCT,CIM Commercial Trust Corporation 
695,CMCTP,CIM Commercial Trust Corporation 
696,CME,CME Group Inc. 
697,CMFNL,"Investcorp Credit Management BDC, Inc. "
698,CMLF,"CM Life Sciences, Inc. "
699,CMLFU,"CM Life Sciences, Inc. "
700,CMLFW,"CM Life Sciences, Inc. "
701,CMLS,Cumulus Media Inc. 
702,CMPI,"Checkmate Pharmaceuticals, Inc. "
703,CMPR,Cimpress plc 
704,CMPS,COMPASS Pathways Plc 
705,CMRX,"Chimerix, Inc. "
706,CMTL,Comtech Telecommunications Corp. 
707,CNBKA,"Century Bancorp, Inc. "
708,CNCE,"Concert Pharmaceuticals, Inc. "
709,CNCR,Loncar Cancer Immunotherapy ETF
710,CNET,ZW Data Action Technologies Inc. 
711,CNFR,"Conifer Holdings, Inc. "
712,CNFRL,"Conifer Holdings, Inc. "
713,CNNB,"Cincinnati Bancorp, Inc. "
714,CNOB,"ConnectOne Bancorp, Inc. "
715,CNSL,"Consolidated Communications Holdings, Inc. "
716,CNSP,"CNS Pharmaceuticals, Inc. "
717,CNST,"Constellation Pharmaceuticals, Inc. "
718,CNTG,Centogene N.V. 
719,CNTY,"Century Casinos, Inc. "
720,CNXC,Concentrix Corporation 
721,CNXN,"PC Connection, Inc. "
722,COCP,"Cocrystal Pharma, Inc. "
723,CODA,"Coda Octopus Group, Inc. "
724,CODX,Co
725,COFS,"ChoiceOne Financial Services, Inc. "
726,COGT,"Cogent Biosciences, Inc. "
727,COHR,"Coherent, Inc. "
728,COHU,"Cohu, Inc. "
729,COKE,Coca
730,COLB,"Columbia Banking System, Inc. "
731,COLL,"Collegium Pharmaceutical, Inc. "
732,COLM,Columbia Sportswear Company 
733,COMM,"CommScope Holding Company, Inc. "
734,COMT,iShares Commodities Select Strategy ETF
735,CONN,"Conn's, Inc. "
736,CONXU,CONX Corp. 
737,COOP,Mr. Cooper Group Inc. 
738,CORE,Core
739,CORT,Corcept Therapeutics Incorporated 
740,COST,Costco Wholesale Corporation 
741,COUP,Coupa Software Incorporated 
742,COWN,Cowen Inc. 
743,COWNL,Cowen Inc. 
744,COWNZ,Cowen Inc. 
745,CPAH,CounterPath Corporation 
746,CPHC,Canterbury Park Holding Corporation 
747,CPIX,Cumberland Pharmaceuticals Inc. 
748,CPLP,Capital Product Partners L.P. 
749,CPRT,"Copart, Inc. "
750,CPRX,"Catalyst Pharmaceuticals, Inc. "
751,CPSH,CPS Technologies Corp. 
752,CPSI,"Computer Programs and Systems, Inc. "
753,CPSS,"Consumer Portfolio Services, Inc. "
754,CPST,Capstone Turbine Corporation 
755,CPTA,Capitala Finance Corp. 
756,CPTAG,Capitala Finance Corp. 
757,CPTAL,Capitala Finance Corp. 
758,CPZ,Calamos Long/Short Equity & Dynamic Income Trust 
759,CRAI,"CRA International,Inc. "
760,CRBP,"Corbus Pharmaceuticals Holdings, Inc. "
761,CRDF,"Cardiff Oncology, Inc. "
762,CREE,"Cree, Inc. "
763,CREG,China Recycling Energy Corporation 
764,CRESY,Cresud S.A.C.I.F. y A. 
765,CREX,"Creative Realities, Inc. "
766,CREXW,"Creative Realities, Inc. "
767,CRIS,"Curis, Inc. "
768,CRMT,America's Car
769,CRNC,Cerence Inc. 
770,CRNT,Ceragon Networks Ltd. 
771,CRNX,"Crinetics Pharmaceuticals, Inc. "
772,CRON,Cronos Group Inc. 
773,CROX,"Crocs, Inc. "
774,CRSA,Crescent Acquisition Corp 
775,CRSAU,Crescent Acquisition Corp 
776,CRSAW,Crescent Acquisition Corp 
777,CRSP,CRISPR Therapeutics AG 
778,CRSR,"Corsair Gaming, Inc. "
779,CRTD,Creatd Inc. 
780,CRTDW,Creatd Inc. 
781,CRTO,Criteo S.A. 
782,CRTX,"Cortexyme, Inc. "
783,CRUS,"Cirrus Logic, Inc. "
784,CRVL,CorVel Corp. 
785,CRVS,"Corvus Pharmaceuticals, Inc. "
786,CRWD,"CrowdStrike Holdings, Inc. "
787,CRWS,"Crown Crafts, Inc. "
788,CSA,VictoryShares US Small Cap Volatility Wtd ETF
789,CSCO,"Cisco Systems, Inc. "
790,CSCW,Color Star Technology Co. Ltd. 
791,CSF,VictoryShares US Discovery Enhanced Volatility Wtd ETF
792,CSGS,"CSG Systems International, Inc. "
793,CSII,"Cardiovascular Systems, Inc. "
794,CSIQ,Canadian Solar Inc. 
795,CSML,IQ Chaikin U.S. Small Cap ETF
796,CSPI,CSP Inc. 
797,CSQ,Calamos Strategic Total Return Fund 
798,CSSE,"Chicken Soup for the Soul Entertainment, Inc. "
799,CSSEN,"Chicken Soup for the Soul Entertainment, Inc. "
800,CSSEP,"Chicken Soup for the Soul Entertainment, Inc. "
801,CSTE,Caesarstone Ltd. 
802,CSTL,"Castle Biosciences, Inc. "
803,CSTR,"CapStar Financial Holdings, Inc. "
804,CSWC,Capital Southwest Corporation 
805,CSWCL,Capital Southwest Corporation 
806,CSWI,"CSW Industrials, Inc. "
807,CSX,CSX Corporation 
808,CTAS,Cintas Corporation 
809,CTBI,"Community Trust Bancorp, Inc. "
810,CTEC,Global X CleanTech ETF
811,CTHR,Charles & Colvard Ltd. 
812,CTIB,Yunhong CTI Ltd. 
813,CTIC,CTI BioPharma Corp. 
814,CTMX,"CytomX Therapeutics, Inc. "
815,CTRE,"CareTrust REIT, Inc. "
816,CTRM,Castor Maritime Inc. 
817,CTRN,"Citi Trends, Inc. "
818,CTSH,Cognizant Technology Solutions Corporation 
819,CTSO,Cytosorbents Corporation 
820,CTXR,"Citius Pharmaceuticals, Inc. "
821,CTXRW,"Citius Pharmaceuticals, Inc. "
822,CTXS,"Citrix Systems, Inc. "
823,CUBA,"The Herzfeld Caribbean Basin Fund, Inc. "
824,CUE,"Cue Biopharma, Inc. "
825,CURI,CuriosityStream Inc.  
826,CURIW,CuriosityStream Inc.  
827,CUTR,"Cutera, Inc. "
828,CVAC,CureVac N.V. 
829,CVBF,CVB Financial Corporation 
830,CVCO,"Cavco Industries, Inc. "
831,CVCY,Central Valley Community Bancorp 
832,CVET,"Covetrus, Inc. "
833,CVGI,"Commercial Vehicle Group, Inc. "
834,CVGW,"Calavo Growers, Inc. "
835,CVLG,"Covenant Logistics Group, Inc. "
836,CVLT,"Commvault Systems, Inc. "
837,CVLY,"Codorus Valley Bancorp, Inc "
838,CVV,CVD Equipment Corporation 
839,CWBC,Community West Bancshares 
840,CWBR,"CohBar, Inc. "
841,CWCO,Consolidated Water Co. Ltd. 
842,CWST,"Casella Waste Systems, Inc. "
843,CXDC,China XD Plastics Company Limited 
844,CXDO,"Crexendo, Inc. "
845,CXSE,WisdomTree China ex
846,CYAD,Celyad SA 
847,CYAN,Cyanotech Corporation 
848,CYBE,CyberOptics Corporation 
849,CYBR,CyberArk Software Ltd. 
850,CYCC,"Cyclacel Pharmaceuticals, Inc. "
851,CYCCP,"Cyclacel Pharmaceuticals, Inc. "
852,CYCN,"Cyclerion Therapeutics, Inc. "
853,CYRN,CYREN Ltd. 
854,CYRX,"CryoPort, Inc. "
855,CYTK,"Cytokinetics, Incorporated "
856,CZNC,Citizens & Northern Corp 
857,CZR,"Caesars Entertainment, Inc. "
858,CZWI,"Citizens Community Bancorp, Inc. "
859,DADA,Dada Nexus Limited 
860,DAIO,Data I/O Corporation 
861,DAKT,"Daktronics, Inc. "
862,DALI,First Trust DorseyWright DALI 1 ETF
863,DAX,Global X DAX Germany ETF
864,DBDRU,Roman DBDR Tech Acquisition Corp. 
865,DBDRW,Roman DBDR Tech Acquisition Corp. 
866,DBVT,DBV Technologies S.A. 
867,DBX,"Dropbox, Inc. "
868,DCBO,Docebo Inc. 
869,DCOM,"Dime Community Bancshares, Inc. "
870,DCOMP,"Dime Community Bancshares, Inc. "
871,DCPH,"Deciphera Pharmaceuticals, Inc. "
872,DCRBU,Decarbonization Plus Acquisition Corporation 
873,DCT,"Duck Creek Technologies, Inc. "
874,DCTH,"Delcath Systems, Inc. "
875,DDIV,First Trust Dorsey Wright Momentum & Dividend ETF
876,DEMZ,DEMZ Political Contributions ETF
877,DFFN,Diffusion Pharmaceuticals Inc. 
878,DFHT,Deerfield Healthcare Technology Acquisitions Corp. 
879,DFHTU,Deerfield Healthcare Technology Acquisitions Corp. 
880,DFHTW,Deerfield Healthcare Technology Acquisitions Corp. 
881,DFNL,Davis Select Financial ETF
882,DFPHU,DFP Healthcare Acquisitions Corp. 
883,DFPHW,DFP Healthcare Acquisitions Corp. 
884,DGICA,"Donegal Group, Inc. "
885,DGICB,"Donegal Group, Inc. "
886,DGII,Digi International Inc. 
887,DGLY,"Digital Ally, Inc. "
888,DGNS,Dragoneer Growth Opportunities Corp. II 
889,DGRE,WisdomTree Emerging Markets Quality Dividend Growth Fund
890,DHCNI,Diversified Healthcare Trust  
891,DHCNL,Diversified Healthcare Trust  
892,DHIL,"Diamond Hill Investment Group, Inc. "
893,DINT,Davis Select International ETF
894,DISCA,"Discovery, Inc. "
895,DISCB,"Discovery, Inc. "
896,DISCK,"Discovery, Inc. "
897,DISH,DISH Network Corporation 
898,DJCO,Daily Journal Corp. (S.C.) 
899,DKNG,DraftKings Inc. 
900,DLHC,DLH Holdings Corp. 
901,DLPN,"Dolphin Entertainment, Inc. "
902,DLPNW,"Dolphin Entertainment, Inc. "
903,DLTH,Duluth Holdings Inc. 
904,DLTR,"Dollar Tree, Inc. "
905,DMAC,DiaMedica Therapeutics Inc. 
906,DMLP,"Dorchester Minerals, L.P. "
907,DMRC,Digimarc Corporation 
908,DMTK,"DermTech, Inc. "
909,DMXF,iShares ESG Advanced MSCI EAFE ETF
910,DNLI,Denali Therapeutics Inc. 
911,DOCU,"DocuSign, Inc. "
912,DOGZ,Dogness (International) Corporation 
913,DOMO,"Domo, Inc. "
914,DOOO,BRP Inc. 
915,DORM,"Dorman Products, Inc. "
916,DOX,Amdocs Limited 
917,DOYU,DouYu International Holdings Limited 
918,DRAD,Digirad Corporation 
919,DRADP,Digirad Corporation 
920,DRIO,DarioHealth Corp. 
921,DRIOW,DarioHealth Corp. 
922,DRIV,Global X Autonomous & Electric Vehicles ETF
923,DRRX,DURECT Corporation 
924,DRTT,DIRTT Environmental Solutions Ltd. 
925,DSAC,Duddell Street Acquisition Corp. 
926,DSACU,Duddell Street Acquisition Corp. 
927,DSACW,Duddell Street Acquisition Corp. 
928,DSGX,The Descartes Systems Group Inc. 
929,DSKE,"Daseke, Inc. "
930,DSKEW,"Daseke, Inc. "
931,DSPG,"DSP Group, Inc. "
932,DSWL,"Deswell Industries, Inc. "
933,DTEA,DAVIDsTEA Inc. 
934,DTIL,"Precision BioSciences, Inc. "
935,DTSS,Datasea Inc. 
936,DUO,Fangdd Network Group Ltd. 
937,DUOT,"Duos Technologies Group, Inc. "
938,DUSA,Davis Select U.S. Equity ETF
939,DVLU,First Trust Dorsey Wright Momentum & Value ETF
940,DWPP,First Trust Dorsey Wright People's Portfolio ETF
941,DWUS,AdvisorShares Dorsey Wright FSM US Core ETF
942,DXGE,WisdomTree Germany Hedged Equity Fund
943,DXPE,"DXP Enterprises, Inc. "
944,DXYN,"The Dixie Group, Inc. "
945,DYAI,"Dyadic International, Inc. "
946,DYN,"Dyne Therapeutics, Inc. "
947,DYNT,Dynatronics Corporation 
948,DZSI,DZS Inc. 
949,EA,Electronic Arts Inc. 
950,EAR,"Eargo, Inc. "
951,EARS,Auris Medical Holding Ltd. 
952,EAST,"Eastside Distilling, Inc. "
953,EBAY,eBay Inc. 
954,EBAYL,eBay Inc. 
955,EBC,"Eastern Bankshares, Inc. "
956,EBIX,"Ebix, Inc. "
957,EBIZ,Global X E
958,EBMT,"Eagle Bancorp Montana, Inc. "
959,EBON,Ebang International Holdings Inc. 
960,EBSB,"Meridian Bancorp, Inc. "
961,EBTC,Enterprise Bancorp Inc 
962,ECHO,"Echo Global Logistics, Inc. "
963,ECOL,"US Ecology, Inc. "
964,ECOLW,"US Ecology, Inc. "
965,ECOR,"electroCore, Inc. "
966,ECOW,Pacer Emerging Markets Cash Cows 100 ETF
967,EDAP,EDAP TMS S.A. 
968,EDIT,"Editas Medicine, Inc. "
969,EDOC,Global X Telemedicine & Digital Health ETF
970,EDSA,"Edesa Biotech, Inc. "
971,EDTK,Skillful Craftsman Education Technology Limited 
972,EDUC,Educational Development Corporation 
973,EDUT,Global X Education ETF
974,EEMA,iShares MSCI Emerging Markets Asia ETF
975,EFSC,Enterprise Financial Services Corporation 
976,EGAN,eGain Corporation 
977,EGBN,"Eagle Bancorp, Inc. "
978,EGLE,Eagle Bulk Shipping Inc. 
979,EGOV,NIC Inc. 
980,EGRX,"Eagle Pharmaceuticals, Inc. "
981,EH,EHang Holdings Limited 
982,EHTH,"eHealth, Inc. "
983,EIDX,"Eidos Therapeutics, Inc. "
984,EIGI,"Endurance International Group Holdings, Inc. "
985,EIGR,"Eiger BioPharmaceuticals, Inc. "
986,EKSO,"Ekso Bionics Holdings, Inc. "
987,ELOX,"Eloxx Pharmaceuticals, Inc. "
988,ELSE,Electro
989,ELTK,Eltek Ltd. 
990,ELYS,"Elys Game Technology, Corp.  "
991,EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF
992,EMIF,iShares S&P Emerging Markets Infrastructure Index Fund
993,EML,Eastern Company (The) 
994,EMXC,iShares MSCI Emerging Markets ex China ETF
995,ENG,ENGlobal Corporation 
996,ENLV,Enlivex Therapeutics Ltd. 
997,ENOB,"Enochian Biosciences, Inc. "
998,ENPH,"Enphase Energy, Inc. "
999,ENSG,"The Ensign Group, Inc. "
1000,ENTA,"Enanta Pharmaceuticals, Inc. "
1001,ENTG,"Entegris, Inc. "
1002,ENTX,Entera Bio Ltd. 
1003,ENTXW,Entera Bio Ltd. 
1004,ENZL,iShares MSCI New Zealand ETF
1005,EOSE,"Eos Energy Enterprises, Inc. "
1006,EOSEW,"Eos Energy Enterprises, Inc. "
1007,EPAY,"Bottomline Technologies, Inc. "
1008,EPIX,ESSA Pharma Inc. 
1009,EPSN,Epsilon Energy Ltd. 
1010,EPZM,"Epizyme, Inc. "
1011,EQ,"Equillium, Inc. "
1012,EQBK,"Equity Bancshares, Inc. "
1013,EQIX,"Equinix, Inc. "
1014,EQOS,Diginex Limited 
1015,EQOSW,Diginex Limited 
1016,EQRR,ProShares Equities for Rising Rates ETF
1017,ERESU,East Resources Acquisition Company 
1018,ERESW,East Resources Acquisition Company 
1019,ERIC,Ericsson 
1020,ERIE,Erie Indemnity Company 
1021,ERII,"Energy Recovery, Inc. "
1022,ERYP,Erytech Pharma S.A. 
1023,ESBK,Elmira Savings Bank NY (The) 
1024,ESCA,"Escalade, Incorporated "
1025,ESEA,Euroseas Ltd. 
1026,ESGD,iShares ESG Aware MSCI EAFE ETF
1027,ESGRO,Enstar Group Limited 
1028,ESGRP,Enstar Group Limited 
1029,ESGU,iShares ESG Aware MSCI USA ETF
1030,ESPO,VanEck Vectors Video Gaming and eSports ETF
1031,ESQ,"Esquire Financial Holdings, Inc. "
1032,ESSA,"ESSA Bancorp, Inc. "
1033,ESSC,East Stone Acquisition Corporation 
1034,ESSCR,East Stone Acquisition Corporation 
1035,ESSCU,East Stone Acquisition Corporation 
1036,ESSCW,East Stone Acquisition Corporation 
1037,ESTA,Establishment Labs Holdings Inc. 
1038,ESXB,Community Bankers Trust Corporation. 
1039,ETAC,E.Merge Technology Acquisition Corp. 
1040,ETACU,E.Merge Technology Acquisition Corp. 
1041,ETACW,E.Merge Technology Acquisition Corp. 
1042,ETNB,"89bio, Inc. "
1043,ETON,"Eton Pharmaceuticals, Inc. "
1044,ETSY,"Etsy, Inc. "
1045,ETTX,Entasis Therapeutics Holdings Inc. 
1046,EUCRU,Eucrates Biomedical Acquisition Corp. 
1047,EUFN,iShares MSCI Europe Financials Sector Index Fund
1048,EVER,"EverQuote, Inc. "
1049,EVFM,"Evofem Biosciences, Inc. "
1050,EVGBC,Eaton Vance Global Income Builder NextShares
1051,EVK,Ever
1052,EVLMC,Eaton Vance TABS 5
1053,EVLO,"Evelo Biosciences, Inc. "
1054,EVOK,"Evoke Pharma, Inc. "
1055,EVOL,"Evolving Systems, Inc. "
1056,EVOP,"EVO Payments, Inc. "
1057,EVSTC,Eaton Vance Stock NextShares
1058,EWEB,Global X Emerging Markets Internet & E
1059,EWJE,iShares MSCI Japan Equal Weighted ETF
1060,EXAS,Exact Sciences Corporation 
1061,EXC,Exelon Corporation 
1062,EXEL,"Exelixis, Inc. "
1063,EXFO,EXFO Inc 
1064,EXLS,"ExlService Holdings, Inc. "
1065,EXPC,Experience Investment Corp. 
1066,EXPCU,Experience Investment Corp. 
1067,EXPCW,Experience Investment Corp. 
1068,EXPD,"Expeditors International of Washington, Inc. "
1069,EXPE,"Expedia Group, Inc. "
1070,EXPI,"eXp World Holdings, Inc. "
1071,EXPO,"Exponent, Inc. "
1072,EXTR,"Extreme Networks, Inc. "
1073,EYE,"National Vision Holdings, Inc. "
1074,EYEG,"Eyegate Pharmaceuticals, Inc. "
1075,EYEN,"Eyenovia, Inc. "
1076,EYES,"Second Sight Medical Products, Inc. "
1077,EYESW,"Second Sight Medical Products, Inc. "
1078,EYPT,"EyePoint Pharmaceuticals, Inc. "
1079,EZPW,"EZCORP, Inc. "
1080,FAAR,First Trust Alternative Absolute Return Strategy ETF
1081,FANG,"Diamondback Energy, Inc. "
1082,FANH,Fanhua Inc. 
1083,FARM,Farmer Brothers Company 
1084,FARO,"FARO Technologies, Inc. "
1085,FAST,Fastenal Company 
1086,FAT,FAT Brands Inc. 
1087,FATBP,FAT Brands Inc. 
1088,FATBW,FAT Brands Inc. 
1089,FATE,"Fate Therapeutics, Inc. "
1090,FB,"Facebook, Inc. "
1091,FBIO,"Fortress Biotech, Inc. "
1092,FBIOP,"Fortress Biotech, Inc. "
1093,FBIZ,"First Business Financial Services, Inc. "
1094,FBMS,"The First Bancshares, Inc. "
1095,FBNC,First Bancorp 
1096,FBRX,"Forte Biosciences, Inc.  "
1097,FBSS,"Fauquier Bankshares, Inc. "
1098,FBZ,First Trust Brazil AlphaDEX Fund
1099,FCACU,Falcon Capital Acquisition Corp. 
1100,FCACW,Falcon Capital Acquisition Corp. 
1101,FCAL,First Trust California Municipal High income ETF
1102,FCBC,"First Community Bankshares, Inc. "
1103,FCBP,First Choice Bancorp 
1104,FCCO,First Community Corporation 
1105,FCCY,1st Constitution Bancorp (NJ) 
1106,FCEF,First Trust CEF Income Opportunity ETF
1107,FCFS,"FirstCash, Inc. "
1108,FCNCA,"First Citizens BancShares, Inc. "
1109,FCNCP,"First Citizens BancShares, Inc. "
1110,FCRD,"First Eagle Alternative Capital BDC, Inc. "
1111,FCVT,First Trust SSI Strategic Convertible Securities ETF
1112,FDIV,First Trust Strategic Income ETF
1113,FDTS,First Trust Developed Markets ex
1114,FDUS,Fidus Investment Corporation 
1115,FDUSG,Fidus Investment Corporation 
1116,FDUSL,Fidus Investment Corporation 
1117,FDUSZ,Fidus Investment Corporation 
1118,FEIM,"Frequency Electronics, Inc. "
1119,FELE,"Franklin Electric Co., Inc. "
1120,FEM,First Trust Emerging Markets AlphaDEX Fund
1121,FEP,First Trust Europe AlphaDEX Fund
1122,FFBC,First Financial Bancorp. 
1123,FFBW,"FFBW, Inc. "
1124,FFHL,"Fuwei Films (Holdings) Co., Ltd. "
1125,FFIC,Flushing Financial Corporation 
1126,FFIN,"First Financial Bankshares, Inc. "
1127,FFIV,"F5 Networks, Inc. "
1128,FFNW,"First Financial Northwest, Inc. "
1129,FFWM,First Foundation Inc. 
1130,FGBI,"First Guaranty Bancshares, Inc. "
1131,FGEN,"FibroGen, Inc "
1132,FGM,First Trust Germany AlphaDEX Fund
1133,FHTX,Foghorn Therapeutics Inc. 
1134,FIBK,"First Interstate BancSystem, Inc. "
1135,FID,First Trust S&P International Dividend Aristocrats ETF
1136,FIIIU,Forum Merger III Corporation 
1137,FIIIW,Forum Merger III Corporation 
1138,FINX,Global X FinTech ETF
1139,FISV,"Fiserv, Inc. "
1140,FITB,Fifth Third Bancorp 
1141,FITBI,Fifth Third Bancorp 
1142,FITBO,Fifth Third Bancorp 
1143,FITBP,Fifth Third Bancorp 
1144,FIVE,"Five Below, Inc. "
1145,FIVN,"Five9, Inc. "
1146,FIXD,First Trust TCW Opportunistic Fixed Income ETF
1147,FIZZ,National Beverage Corp. 
1148,FJP,First Trust Japan AlphaDEX Fund
1149,FLEX,Flex Ltd. 
1150,FLGT,"Fulgent Genetics, Inc. "
1151,FLIC,The First of Long Island Corporation 
1152,FLIR,"FLIR Systems, Inc. "
1153,FLL,"Full House Resorts, Inc. "
1154,FLMN,Falcon Minerals Corporation 
1155,FLMNW,Falcon Minerals Corporation 
1156,FLN,First Trust Latin America AlphaDEX Fund
1157,FLUX,"Flux Power Holdings, Inc. "
1158,FLWS,1
1159,FLXN,"Flexion Therapeutics, Inc. "
1160,FLXS,"Flexsteel Industries, Inc. "
1161,FMAO,"Farmers & Merchants Bancorp, Inc. "
1162,FMB,First Trust Managed Municipal ETF
1163,FMBI,"First Midwest Bancorp, Inc. "
1164,FMBIO,"First Midwest Bancorp, Inc. "
1165,FMBIP,"First Midwest Bancorp, Inc. "
1166,FMHI,First Trust Municipal High Income ETF
1167,FMTX,"Forma Therapeutics Holdings, Inc. "
1168,FNCB,FNCB Bancorp Inc. 
1169,FNHC,FedNat Holding Company 
1170,FNK,First Trust Mid Cap Value AlphaDEX Fund
1171,FNLC,"First Bancorp, Inc (ME) "
1172,FNWB,First Northwest Bancorp 
1173,FNX,First Trust Mid Cap Core AlphaDEX Fund
1174,FOLD,"Amicus Therapeutics, Inc. "
1175,FONR,Fonar Corporation 
1176,FORD,"Forward Industries, Inc. "
1177,FORM,"FormFactor, Inc. "
1178,FORR,"Forrester Research, Inc. "
1179,FORTY,Formula Systems (1985) Ltd. 
1180,FOSL,"Fossil Group, Inc. "
1181,FOX,Fox Corporation 
1182,FOXA,Fox Corporation 
1183,FOXF,Fox Factory Holding Corp. 
1184,FPA,First Trust Asia Pacific Ex
1185,FPAY,"FlexShopper, Inc. "
1186,FPRX,"Five Prime Therapeutics, Inc. "
1187,FPXE,First Trust IPOX Europe Equity Opportunities ETF
1188,FRAN,Francesca's Holdings Corporation 
1189,FRBA,First Bank 
1190,FRBK,"Republic First Bancorp, Inc. "
1191,FREE,"Whole Earth Brands, Inc. "
1192,FREEW,"Whole Earth Brands, Inc. "
1193,FREQ,"Frequency Therapeutics, Inc. "
1194,FRG,"Franchise Group, Inc. "
1195,FRGAP,"Franchise Group, Inc. "
1196,FRGI,"Fiesta Restaurant Group, Inc. "
1197,FRHC,Freedom Holding Corp. 
1198,FRLN,Freeline Therapeutics Holdings plc 
1199,FRME,First Merchants Corporation 
1200,FROG,JFrog Ltd. 
1201,FRPH,"FRP Holdings, Inc. "
1202,FRPT,"Freshpet, Inc. "
1203,FRSX,Foresight Autonomous Holdings Ltd. 
1204,FRTA,"Forterra, Inc. "
1205,FSBW,"FS Bancorp, Inc. "
1206,FSDC,FS Development Corp. 
1207,FSEA,First Seacoast Bancorp 
1208,FSFG,"First Savings Financial Group, Inc. "
1209,FSLR,"First Solar, Inc. "
1210,FSRV,FinServ Acquisition Corp. 
1211,FSRVU,FinServ Acquisition Corp. 
1212,FSRVW,FinServ Acquisition Corp. 
1213,FSTR,L.B. Foster Company 
1214,FSTX,F
1215,FSV,FirstService Corporation 
1216,FSZ,First Trust Switzerland AlphaDEX Fund
1217,FTDR,"frontdoor, inc. "
1218,FTEK,"Fuel Tech, Inc. "
1219,FTFT,Future FinTech Group Inc. 
1220,FTGC,First Trust Global Tactical Commodity Strategy Fund
1221,FTIV,FinTech Acquisition Corp. IV 
1222,FTIVU,FinTech Acquisition Corp. IV 
1223,FTIVW,FinTech Acquisition Corp. IV 
1224,FTLB,First Trust Hedged BuyWrite Income ETF
1225,FTOC,FTAC Olympus Acquisition Corp. 
1226,FTOCU,FTAC Olympus Acquisition Corp. 
1227,FTOCW,FTAC Olympus Acquisition Corp. 
1228,FTRI,First Trust Indxx Global Natural Resources Income ETF
1229,FULT,Fulton Financial Corporation 
1230,FULTP,Fulton Financial Corporation 
1231,FUNC,First United Corporation 
1232,FUND,"Sprott Focus Trust, Inc. "
1233,FUSB,"First US Bancshares, Inc. "
1234,FUSN,Fusion Pharmaceuticals Inc. 
1235,FUTU,Futu Holdings Limited 
1236,FUV,"Arcimoto, Inc. "
1237,FV,First Trust Dorsey Wright Focus 5 ETF
1238,FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF
1239,FVE,Five Star Senior Living Inc. 
1240,FWONA,Liberty Media Corporation 
1241,FWONK,Liberty Media Corporation 
1242,FWP,Forward Pharma A/S 
1243,FWRD,Forward Air Corporation 
1244,FXNC,First National Corporation 
1245,FYC,First Trust Small Cap Growth AlphaDEX Fund
1246,GAIA,"Gaia, Inc. "
1247,GAIN,Gladstone Investment Corporation 
